,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
2,A Girl Has No Team Name,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
19,A Team Has No Name,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
4,A Wizard of Cersei,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
28,Aaron on the Throne,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
12,All Bronn and no brains,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
33,Arya Dead Yet?,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
22,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
29,"Breaker of Fasts, Mother of Brunches",Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
0,Bri-Anne,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
23,Bri-Enne Of Green Gables,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
36,Bronn Swanson,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
42,Bronn: The Decision,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
16,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
11,Dany Snow,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
21,Davis the Bastard of Voltron,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
30,Enjol-Raki ,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
5,Flea Bottom Feeders,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
15,House Magnus,Free,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
31,Just Here for CleganeBowl,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
13,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
10,Lady Elizabeth of House Wray,Free,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
40,Lady Kristi of the House of Brooks,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
32,Lady Stoneheart,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
24,Lil' Jon Snow White,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
8,Little Fingers’ Little Finger,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
43,Lord Ben-ish,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
37,Matton Of The Hounds,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
41,Mountain Mellon Crushers,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
1,No Ygrittes,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
34,"S'now way, Jose!",Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
6,Safari Ary,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
7,Sand Snake Realness,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
38,Sept of Baylor was an Inside job,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
25,"Ser Dunton, Knight of the Laughing Tree",Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
39,Ser Hand Rale of House Bannister,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
9,Stark Raving Mad,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
17,Stop Dragon My Horse Heart Around,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
3,Sword Swallowers through and through,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
20,That’s what I do: I drink and I know things.,Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
27,The Ed Sheeran Fan Club,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
26,The House of Lesbian Poets,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
35,Tormund's Member Rewards Club,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
14,Xander's Dragons,Paying,01. Arya Stark,3.0,Lives,Lives,Lives,True,3.0
18,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,01. Arya Stark,3.0,Dies,Dies,Lives,False,0.0
46,A Girl Has No Team Name,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
