,Team,Iron Bank,Episode 1 Rank,Episode 1 Score
0,Safari Ary,Paying,1.0,36.0
1,All Bronn and no brains,Paying,2.0,35.0
2,Lady Kristi of the House of Brooks,Paying,3.0,34.0
3,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,4.0,32.0
4,The Ed Sheeran Fan Club,Paying,5.0,30.0
5,Little Fingers’ Little Finger,Paying,6.0,29.0
6,Flea Bottom Feeders,Paying,7.0,28.0
7,Ser Hand Rale of House Bannister,Paying,8.0,27.0
8,Mountain Mellon Crushers,Paying,10.0,26.0
9,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,10.0,26.0
10,No Ygrittes,Paying,12.0,25.0
11,Stop Dragon My Horse Heart Around,Paying,12.0,25.0
12,House Magnus,Free,14.0,24.0
13,A Girl Has No Team Name,Paying,14.0,24.0
14,"S'now way, Jose!",Paying,15.0,23.0
15,Sword Swallowers through and through,Paying,17.0,22.0
16,Tormund's Member Rewards Club,Paying,17.0,22.0
17,Bronn Swanson,Paying,22.0,21.0
18,The House of Lesbian Poets,Paying,22.0,21.0
19,Sept of Baylor was an Inside job,Paying,22.0,21.0
20,Matton Of The Hounds,Paying,22.0,21.0
21,Davis the Bastard of Voltron,Paying,22.0,21.0
22,Dany Snow,Paying,26.0,20.0
23,Bronn: The Decision,Paying,26.0,20.0
24,"Ser Dunton, Knight of the Laughing Tree",Paying,26.0,20.0
25,Xander's Dragons,Paying,26.0,20.0
26,Bri-Enne Of Green Gables,Paying,28.0,19.0
27,A Wizard of Cersei,Paying,28.0,19.0
28,Lady Stoneheart,Paying,33.0,18.0
29,A Team Has No Name,Paying,33.0,18.0
30,Lady Elizabeth of House Wray,Free,33.0,18.0
31,Bri-Anne,Paying,33.0,18.0
32,Aaron on the Throne,Paying,33.0,18.0
33,Lord Ben-ish,Paying,37.0,17.0
34,Lil' Jon Snow White,Paying,37.0,17.0
35,That’s what I do: I drink and I know things.,Paying,37.0,17.0
36,Arya Dead Yet?,Paying,37.0,17.0
37,"Breaker of Fasts, Mother of Brunches",Paying,38.0,16.0
38,Just Here for CleganeBowl,Paying,39.0,15.0
39,Sand Snake Realness,Paying,43.0,14.0
40,Stark Raving Mad,Paying,43.0,14.0
41,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,43.0,14.0
42,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,43.0,14.0
43,Enjol-Raki ,Paying,44.0,3.0
